path,folder,score,wins,losses,duels,last_seen_iso,hidden
I:\OneDrive\Discord Downloader Output\+\Grabber\wolfwithwing\5321363.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\wolfwithwing,1060.46,4,0,4,2025-09-23T04:48:48Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\butterchalk\4256282.png,I:\OneDrive\Discord Downloader Output\+\Grabber\butterchalk,1059.73,4,0,4,2025-10-03T01:45:36Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro\4367781.png,I:\OneDrive\Discord Downloader Output\+\Grabber\kyaro,1046.56,3,0,3,2025-11-16T21:31:32Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\jarnqk\5460057.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\jarnqk,1046.50,3,0,3,2025-10-14T06:21:54Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\marsminer\4705695.jpg,I:\OneDrive\Discord Downloader Output\+\Grabber\marsminer,1045.98,3,0,3,2025-10-25T20:51:43Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\codyblue-731\4939911.png,I:\OneDrive\Discord Downloader Output\+\Grabber\codyblue-731,1045.83,3,0,3,2025-09-20T03:50:41Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\cuteconfy\4626641.png,I:\OneDrive\Discord Downloader Output\+\Grabber\cuteconfy,1045.83,3,0,3,2025-09-19T01:44:35Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\fiaskers\3086072.gif,I:\OneDrive\Discord Downloader Output\+\Grabber\fiaskers,1045.83,3,0,3,2025-09-23T05:38:50Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\hyilpi\5388177.png,I:\OneDrive\Discord Downloader Output\+\Grabber\hyilpi,1045.83,3,0,3,2025-10-03T01:45:29Z,0
I:\OneDrive\Discord Downloader Output\+\Grabber\lemeonlemon\3105976.png,I:\OneDrive\Discord Downloader Output\+\Grabber\lemeonlemon,1045.83,3,0,3,2025-09-19T05:03:30Z,0
